date,market,city,district,state,category,product,min_price_rs_qtl,max_price_rs_qtl,modal_price_rs_qtl,arrival_tonnes,demand_tonnes,demand_index,temperature_c,humidity_pct,rainfall_mm,distance_from_roorkee_km,road_quality_score,travel_time_hr,transport_cost_rs,cold_chain_available,quality_score,moisture_pct,festival_flag,holiday_flag,price_range_rs_qtl,supply_demand_ratio,net_price_after_transport,price_lag_1d,arrival_lag_1d,demand_lag_1d,price_lag_8d,arrival_lag_8d,demand_lag_8d,price_lag_28d,arrival_lag_28d,demand_lag_28d,price_rolling_7d,price_rolling_28d,arrival_rolling_7d,arrival_rolling_28d,demand_rolling_7d,demand_rolling_28d,month,day_of_week,week_of_year,year,sin_doy,cos_doy,target_next_price,target_next_arrival,target_next_demand,target_price_change_pct
2024-01-29,Bhagwanpur Mandi,Bhagwanpur,Haridwar,UK,Dairy,Butter,5268.82,6185.14,5726.98,35.25,28.74,47.5,18.21,56.92,2.79,26.58,80.54,0.97,82.6,0,72.46,12.99,0,0,916.3200000000006,1.2265135272611856,5644.379999999999,7194.0,34.27,86.87,5520.36,47.92,44.98,5727.71,33.13,27.51,6357.18,5680.022857142858,41.095,41.69428571428572,65.92500000000001,45.64714285714285,1,0,5,2024,0.4784338202547012,0.8781236129591848,6580.96,23.48,49.27,14.911524049324434
2024-02-02,Bhagwanpur Mandi,Bhagwanpur,Haridwar,UK,Dairy,Butter,6054.49,7107.44,6580.96,23.48,49.27,88.49,18.82,54.26,3.28,26.53,75.17,1.0,82.72,1,80.94,11.04,0,0,1052.9499999999998,0.47655773337613694,6498.24,5726.98,35.25,28.74,7194.0,34.27,86.87,4843.52,63.55,47.33,6460.49,5679.918571428571,34.760000000000005,41.99714285714286,57.80500000000001,45.82285714285714,2,4,5,2024,0.5376773767406141,0.8431506618282,7905.7,3.8,32.07,20.129889864092775
2024-02-06,Bhagwanpur Mandi,Bhagwanpur,Haridwar,UK,Dairy,Butter,7273.25,8538.16,7905.7,3.8,32.07,100.0,18.98,56.72,2.21,24.17,85.99,0.84,77.57,0,73.55,6.38,0,0,1264.9099999999999,0.1184907976772436,7828.13,6580.96,23.48,49.27,5726.98,35.25,28.74,5607.02,35.78,38.47,6153.969999999999,5928.124285714285,29.365000000000002,36.27285714285714,39.00500000000001,46.1,2,1,6,2024,0.5943761565849831,0.804187157621448,5676.86,44.0,42.67,-28.192822899932963
2024-02-10,Bhagwanpur Mandi,Bhagwanpur,Haridwar,UK,Dairy,Butter,5222.71,6131.01,5676.86,44.0,42.67,53.88,19.61,73.46,0.16,24.18,80.07,0.88,82.26,1,70.7,7.44,0,0,908.3000000000002,1.0311694157213636,5594.599999999999,7905.7,3.8,32.07,6580.96,23.48,49.27,5215.12,40.68,36.76,7243.33,6256.507142857144,13.64,31.704285714285714,40.670000000000016,45.18571428571429,2,5,6,2024,0.6482618097757122,0.7614175109532997,5611.75,42.48,13.57,-1.1469368629841088
2024-02-14,Bhagwanpur Mandi,Bhagwanpur,Haridwar,UK,Dairy,Butter,5162.81,6060.69,5611.75,42.48,13.57,32.0,15.67,66.77,0.83,24.25,79.35,0.89,77.61,1,72.22,7.04,0,0,897.8799999999992,3.130434551920814,5534.14,5676.86,44.0,42.67,7905.7,3.8,32.07,5652.43,36.53,37.61,6791.28,6322.469999999999,23.9,32.17857142857143,37.370000000000005,46.03000000000001,2,2,7,2024,0.6990793005655562,0.7150441465537444,5618.57,55.12,41.15,0.12153071679956713
2024-02-18,Bhagwanpur Mandi,Bhagwanpur,Haridwar,UK,Dairy,Butter,5169.08,6068.05,5618.57,55.12,41.15,47.4,16.62,64.7,0.11,24.27,86.5,0.84,70.54,0,65.52,13.86,0,1,898.9700000000003,1.3394896393805678,5548.03,5611.75,42.48,13.57,5676.86,44.0,42.67,5520.36,47.92,44.98,5644.305,6316.658571428571,43.239999999999995,33.02857142857143,28.120000000000008,42.59571428571429,2,6,7,2024,0.746588114532413,0.6652865452111116,5441.75,31.92,16.15,-3.147064110618889
2024-02-22,Bhagwanpur Mandi,Bhagwanpur,Haridwar,UK,Dairy,Butter,5006.41,5877.09,5441.75,31.92,16.15,26.47,23.02,72.79,0.18,25.02,88.45,0.86,85.95,0,76.18,12.7,0,0,870.6800000000003,1.9764704658532222,5355.8,5618.57,55.12,41.15,5611.75,42.48,13.57,7194.0,34.27,86.87,5615.16,6330.68857142857,48.8,34.05714285714286,27.360000000000007,42.048571428571435,2,3,8,2024,0.7905633969115482,0.612380204990065,6369.98,28.29,37.94,17.05756420269214
2024-02-26,Bhagwanpur Mandi,Bhagwanpur,Haridwar,UK,Dairy,Butter,5860.38,6879.58,6369.98,28.29,37.94,62.03,21.54,59.08,0.85,23.74,85.49,0.83,60.8,0,75.74,10.16,0,0,1019.1999999999998,0.7456510082854242,6309.179999999999,5441.75,31.92,16.15,5618.57,55.12,41.15,5726.98,35.25,28.74,5530.16,6080.3671428571415,43.519999999999996,33.72142857142857,28.650000000000006,31.945714285714285,2,0,9,2024,0.8307970168121247,0.5565755266413303,5650.96,50.72,42.2,-11.287633556149308
2024-03-01,Bhagwanpur Mandi,Bhagwanpur,Haridwar,UK,Dairy,Butter,5198.88,6103.03,5650.96,50.72,42.2,49.97,21.93,69.09,0.22,22.85,84.18,0.81,63.92,0,78.22,16.23,0,0,904.1499999999996,1.2018957061162154,5587.04,6369.98,28.29,37.94,5441.75,31.92,16.15,6580.96,23.48,49.27,5905.865,6172.2242857142855,30.105,32.72714285714285,27.045000000000005,33.26,3,4,9,2024,0.8670985522812081,0.4981366284784055,5725.2,66.36,56.68,1.3137590781035395
2024-03-05,Bhagwanpur Mandi,Bhagwanpur,Haridwar,UK,Dairy,Butter,5267.19,6183.22,5725.2,66.36,56.68,51.61,20.5,48.8,1.23,24.9,79.64,0.91,76.25,0,78.22,17.39,0,0,916.0300000000007,1.1707833244392498,5648.95,5650.96,50.72,42.2,6369.98,28.29,37.94,7905.7,3.8,32.07,6010.469999999999,6039.367142857142,39.504999999999995,36.61857142857143,40.07000000000001,32.25,3,1,10,2024,0.8992961915530253,0.4373400963303323,5934.92,41.0,23.37,3.6631034723677818
